Workcenter,Item Number,Item Desc.,OP,TBC,Setup Hours,Labor Hours,Machine Hrs,SOQ,Projected AU,Prev. AU,Material PN,Material QTY,Material Desc.,Standard Unit Cost,Rolling 12 Months Usage (Actual Sales),Part Weight,Number of Ops,Annual Material Use,MATSUMHLP,Pieces/Hour,Seconds/Piece,Number of Setups,Annual Hours,Annual Setup Hours,Annual Run Hours,Annual Run Hours Based on Rolling 12,Total Annual Hours Rolling 12,DWGA,DWGB
54110, B-009409-3,"PACKING FOLLOWER,BRS",11,4,0,0.02,0.02,145,0,12,701232,0.169,"ROD,RD  1.188 C36000   BRS FC",$4.54 ,2,4,2,0,0,500000,0.01,0.02,0,-0.01,0.01,0.01,0,LNKA,LNKB
53628, B-009416-7,"PACKING FOLLOWER,BRS",10,3,2.74,16.39,28.5,246,250,343,701240,0.807,"ROD,RD  1.500 C36000   BRS FC",$7.16 ,217,7,3,67.25,22.42,35,102.6,0.89,8.62,2.43,6.19,6.19,8.62,LNKA,LNKB
54110, B-009403-3,"PACKING FOLLOWER,BRS",11,4,0,0.02,0.02,80,0,37,701225,0.191,"ROD,RD  0.938 C36000   BRS FC",$6.55 ,18,3,2,0,0,500000,0.01,0.23,0,-0.01,0.01,0.01,0,LNKA,LNKB
53628,   452460-12,"PACKING FOLLOWER,SSTL",10,3,2.34,20.53,35.7,539,2864,338,711318,0.175,"ROD,RD0.937 S31603",$5.25 ,438,2,3,167.07,55.69,28,128.52,0.82,17.56,1.92,15.64,15.64,17.56,LNKA,LNKB
54152,   452460-12,"PACKING FOLLOWER,SSTL",11,4,0,0.02,0.02,539,2864,338,711318,0.175,"ROD,RD0.937 S31603",$5.25 ,438,2,3,167.07,55.69,500000,0.01,0.82,0,-0.01,0.01,0.01,0,LNKA,LNKB
53218,   452460-12,"PACKING FOLLOWER,SSTL",5,2,0,0.02,0.02,539,2864,338,711318,0.175,"ROD,RD0.937 S31603",$5.25 ,438,2,3,167.07,55.69,5000,0.72,0.82,0.09,0,0.09,0.09,0.09,LNKA,LNKB
52010,   009464-15,"PACKING GLAND,BRS",5,2,0.79,0,0,40000,163112,125044,702722,0.038,"ROD,RD  0.625 C36000   BRS FC",$0.28 ,77594,1,3,2066.09,688.7,#DIV/0!,0,1.94,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110,   009464-15,"PACKING GLAND,BRS",21,4,0,0.02,0.02,40000,163112,125044,702722,0.038,"ROD,RD  0.625 C36000   BRS FC",$0.28 ,77594,1,3,2066.09,688.7,500000,0.01,1.94,0.16,0,0.16,0.16,0.16,LNKA,LNKB
53030,   009464-15,"PACKING GLAND,BRS",10,3,7.84,0.77,1.33,40000,163112,125044,702722,0.038,"ROD,RD  0.625 C36000   BRS FC",$0.28 ,77594,1,3,2066.09,688.7,751,4.79,1.94,118.41,15.2,103.21,103.21,118.41,LNKA,LNKB
53212,   007884-36SST,PACKING NUT & BUSH ASM,888,2,1,0.6,0.52,150,784,311,   007884-20SS,1,"NUT,SSTL;PACK NUT & BUSH ASSY",$30.06 ,231,0,1,784,784,192,18.72,1.54,2.74,1.53,1.21,1.21,2.74,LNKA,LNKB
54110,451418,PACKING SEPARATOR 16A-312A-102,21,4,0,0.02,0.02,292,246,368,701225,0.052,"ROD,RD  0.938 C36000   BRS FC",$2.98 ,44,3,3,4.26,1.42,500000,0.01,0.16,0,-0.01,0.01,0.01,0,LNKA,LNKB
53612,451418,PACKING SEPARATOR 16A-312A-102,10,3,1.84,8.22,14.3,292,246,368,701225,0.052,"ROD,RD  0.938 C36000   BRS FC",$2.98 ,44,3,3,4.26,1.42,69,51.48,0.16,0.92,0.29,0.63,0.63,0.92,LNKA,LNKB
53290,451418,PACKING SEPARATOR 16A-312A-102,35,2,0,0.06,0.06,292,246,368,701225,0.052,"ROD,RD  0.938 C36000   BRS FC",$2.98 ,44,3,3,4.26,1.42,1666,2.16,0.16,0.03,0,0.03,0.03,0.03,LNKA,LNKB
53678,14376,"PAWL,VENT STOP,SSTL",30,3,8,112.41,195.5,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,5,703.8,0,0,0,0,0,0,LNKA,LNKB
53852,14376,"PAWL,VENT STOP,SSTL",40,2,1.5,3.91,3.91,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,25,140.76,0,0,0,0,0,0,LNKA,LNKB
53218,14376,"PAWL,VENT STOP,SSTL",20,2,0,0.02,0.02,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,5000,0.72,0,0,0,0,0,0,LNKA,LNKB
53230,14376,"PAWL,VENT STOP,SSTL",50,2,0,2.87,2.87,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,34,103.32,0,0,0,0,0,0,LNKA,LNKB
53230,14376,"PAWL,VENT STOP,SSTL",60,2,0,0.92,0.92,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,108,33.12,0,0,0,0,0,0,LNKA,LNKB
54110,14376,"PAWL,VENT STOP,SSTL",35,4,0,0.02,0.02,117,0,0,711093,0.089,"ROD,RD  0.750  S17400   SSTL",$53.01 ,0,2,6,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53690,   003121-5A,"PILOT,UNLOADING ADP,BRS",10,3,4.84,7.51,13.06,323,2030,1604,702722,0.089,"ROD,RD  0.625 C36000   BRS FC",$4.82 ,1502,1,2,90.34,45.17,76,47.02,4.66,42.17,22.55,19.62,19.62,42.17,LNKA,LNKB
54110,   003121-5A,"PILOT,UNLOADING ADP,BRS",11,4,0,0.02,0.02,323,2030,1604,702722,0.089,"ROD,RD  0.625 C36000   BRS FC",$4.82 ,1502,1,2,90.34,45.17,500000,0.01,4.66,0,-0.01,0.01,0.01,0,LNKA,LNKB
54152,   007579P-6,PIN BRS 1/4 X 1.69 L,11,4,0,0.02,0.02,151,288,130,701199,0.063,"ROD,RD  0.375 C36000   BRS FC",$5.29 ,268,0,3,6.05,2.02,500000,0.01,1.78,0,-0.01,0.01,0.01,0,LNKA,LNKB
51050,   007579P-6,PIN BRS 1/4 X 1.69 L,3,2,0,0,0,151,288,130,701199,0.063,"ROD,RD  0.375 C36000   BRS FC",$5.29 ,268,0,3,6.05,2.02,#DIV/0!,0,1.78,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53656,   007579P-6,PIN BRS 1/4 X 1.69 L,10,3,2.5,8.6,14.95,151,288,130,701199,0.063,"ROD,RD  0.375 C36000   BRS FC",$5.29 ,268,0,3,6.05,2.02,66,53.82,1.78,8.46,4.45,4.01,4.01,8.46,LNKA,LNKB
54110,453671,PIN DOWEL;SSTL    16A-110-5967,11,4,0,0.02,0.02,2,0,0,701522,0.046,"ROD,RD  0.375 S31600   SSTL",$240.21 ,0,0,4,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53693,453671,PIN DOWEL;SSTL    16A-110-5967,10,3,2.34,14.38,25,2,0,0,701522,0.046,"ROD,RD  0.375 S31600   SSTL",$240.21 ,0,0,4,0,0,40,90,0,0,0,0,0,0,LNKA,LNKB
51050,453671,PIN DOWEL;SSTL    16A-110-5967,6,2,0,0,0,2,0,0,701522,0.046,"ROD,RD  0.375 S31600   SSTL",$240.21 ,0,0,4,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
51030,453671,PIN DOWEL;SSTL    16A-110-5967,5,2,0,0,0,2,0,0,701522,0.046,"ROD,RD  0.375 S31600   SSTL",$240.21 ,0,0,4,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110,  A003219-64B,"PIN SSTL .375 X 1.687L,BLNK",11,4,0,0.02,0.02,41,123,112,703208,0.059,"ROD,RD  0.375 S17400SSTL",$11.93 ,38,0,4,1.81,0.45,500000,0.01,0.93,0,-0.01,0.01,0.01,0,LNKA,LNKB
51270,  A003219-64B,"PIN SSTL .375 X 1.687L,BLNK",999,2,0,0,0,41,123,112,703208,0.059,"ROD,RD  0.375 S17400SSTL",$11.93 ,38,0,4,1.81,0.45,#DIV/0!,0,0.93,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
52010,  A003219-64B,"PIN SSTL .375 X 1.687L,BLNK",5,2,0.34,0,0,41,123,112,703208,0.059,"ROD,RD  0.375 S17400SSTL",$11.93 ,38,0,4,1.81,0.45,#DIV/0!,0,0.93,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53655,  A003219-64B,"PIN SSTL .375 X 1.687L,BLNK",10,3,1.51,12.1,21.13,41,123,112,703208,0.059,"ROD,RD  0.375 S17400SSTL",$11.93 ,38,0,4,1.81,0.45,47,76.07,0.93,2.21,1.4,0.81,0.81,2.21,LNKA,LNKB
51050, B-009403-12SSA,"PIN SWIVEL,SSTL",6,2,0,0,0,183,0,37,701636,0.051,"ROD,HEX 0.375 S30300   SSTL",$4.84 ,18,0,4,0,0,#DIV/0!,0,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110, B-009403-12SSA,"PIN SWIVEL,SSTL",11,4,0,0.02,0.02,183,0,37,701636,0.051,"ROD,HEX 0.375 S30300   SSTL",$4.84 ,18,0,4,0,0,500000,0.01,0.1,0,-0.01,0.01,0.01,0,LNKA,LNKB
53693, B-009403-12SSA,"PIN SWIVEL,SSTL",10,3,2.34,11.5,20,183,0,37,701636,0.051,"ROD,HEX 0.375 S30300   SSTL",$4.84 ,18,0,4,0,0,50,72,0.1,0.59,0.23,0.36,0.36,0.59,LNKA,LNKB
51030, B-009403-12SSA,"PIN SWIVEL,SSTL",5,2,0,0,0,183,0,37,701636,0.051,"ROD,HEX 0.375 S30300   SSTL",$4.84 ,18,0,4,0,0,#DIV/0!,0,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
53691,   003100-37A,"PIN, .155 X .64 L,BRS",10,3,2.84,4.65,8.08,543,5492,3164,701195,0.012,"ROD,RD  0.250 C36000   BRS FC",$2.56 ,1766,0,4,16.48,4.12,123,29.09,3.26,23.53,9.26,14.27,14.27,23.53,LNKA,LNKB
53290,   003100-37A,"PIN, .155 X .64 L,BRS",20,2,0,0.02,0.02,543,5492,3164,701195,0.012,"ROD,RD  0.250 C36000   BRS FC",$2.56 ,1766,0,4,16.48,4.12,5000,0.72,3.26,0.35,-0.01,0.36,0.36,0.35,LNKA,LNKB
51050,   003100-37A,"PIN, .155 X .64 L,BRS",5,2,0,0,0,543,5492,3164,701195,0.012,"ROD,RD  0.250 C36000   BRS FC",$2.56 ,1766,0,4,16.48,4.12,#DIV/0!,0,3.26,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110,   003100-37A,"PIN, .155 X .64 L,BRS",11,4,0,0.02,0.02,543,5492,3164,701195,0.012,"ROD,RD  0.250 C36000   BRS FC",$2.56 ,1766,0,4,16.48,4.12,500000,0.01,3.26,0,-0.01,0.01,0.01,0,LNKA,LNKB
51030,   451895-19,"PIN,DOWEL;0.624 OD,2.625,SSTL",5,2,0,0,0,20,0,7,711309,0.377,"ROD,RD  0.750 S21800  NIT SSTL",$30.52 ,1,1,4,0,0,#DIV/0!,0,0.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
